,GAME_ID,H_TEAM,A_TEAM,H_POINTS,A_POINTS,TOTAL,M_OF_VIC,WINNER,PLUS_MINUS,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_STL,H_BLK,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_STL,A_BLK
3845,21601016.0,Brooklyn Nets,New York Knicks,121.0,110.0,231.0,11.0,Brooklyn Nets,11.0,0.313,0.8290000000000001,51.0,19.0,5.0,2.0,0.1669999999999999,0.962,34.0,20.0,6.0,4.0
3846,21600986.0,New York Knicks,Brooklyn Nets,112.0,120.0,232.0,8.0,Brooklyn Nets,8.0,0.348,0.813,43.0,22.0,5.0,8.0,0.5,0.7240000000000001,55.0,23.0,7.0,3.0
3847,21600950.0,Brooklyn Nets,,105.0,0.0,105.0,105.0,Brooklyn Nets,5.0,0.3329999999999999,0.8,40.0,28.0,7.0,11.0,,,,,,
3848,21600926.0,Brooklyn Nets,Portland Trail Blazers,116.0,130.0,246.0,14.0,Portland Trail Blazers,14.0,0.467,0.706,31.0,24.0,7.0,6.0,0.64,0.727,37.0,29.0,9.0,6.0
3849,21600905.0,Brooklyn Nets,Sacramento Kings,109.0,100.0,209.0,100.0,Sacramento Kings,9.0,0.3929999999999999,0.833,43.0,16.0,8.0,2.0,0.5,0.8640000000000001,38.0,12.0,8.0,3.0
3850,21600864.0,Brooklyn Nets,,109.0,0.0,109.0,109.0,Brooklyn Nets,20.0,0.3329999999999999,0.5479999999999999,42.0,27.0,7.0,4.0,,,,,,
3851,21600822.0,Memphis Grizzlies,Brooklyn Nets,112.0,103.0,215.0,112.0,Memphis Grizzlies,9.0,0.409,0.926,41.0,25.0,7.0,1.0,0.324,0.833,32.0,23.0,8.0,0.0
3852,21600784.0,Washington Wizards,Brooklyn Nets,114.0,110.0,224.0,4.0,Washington Wizards,4.0,0.36,0.758,54.0,21.0,9.0,5.0,0.273,0.6940000000000001,55.0,20.0,6.0,5.0
3853,21600765.0,Toronto Raptors,Brooklyn Nets,103.0,95.0,198.0,8.0,Toronto Raptors,8.0,0.263,0.9,45.0,21.0,8.0,4.0,0.382,0.857,42.0,19.0,8.0,7.0
3854,21600733.0,New York Knicks,Brooklyn Nets,95.0,90.0,185.0,5.0,New York Knicks,5.0,0.222,0.613,58.0,23.0,16.0,7.0,0.2,0.688,49.0,17.0,4.0,7.0
3855,21600710.0,Brooklyn Nets,,109.0,0.0,109.0,109.0,Brooklyn Nets,20.0,0.3329999999999999,0.8,40.0,20.0,6.0,6.0,,,,,,
3856,21600682.0,,Brooklyn Nets,0.0,106.0,106.0,106.0,Brooklyn Nets,3.0,,,,,,,0.371,0.885,33.0,20.0,3.0,4.0
3857,21600652.0,Brooklyn Nets,Charlotte Hornets,105.0,112.0,217.0,112.0,Charlotte Hornets,7.0,0.415,0.8,40.0,30.0,9.0,3.0,0.467,0.909,46.0,26.0,7.0,4.0
3858,21600622.0,Toronto Raptors,Brooklyn Nets,119.0,109.0,228.0,119.0,Toronto Raptors,10.0,0.526,0.813,44.0,18.0,8.0,6.0,0.2689999999999999,0.917,41.0,20.0,7.0,6.0
3859,21600592.0,Brooklyn Nets,Toronto Raptors,113.0,132.0,245.0,132.0,Toronto Raptors,19.0,0.472,0.8,35.0,26.0,5.0,1.0,0.3929999999999999,0.81,49.0,21.0,7.0,9.0
3860,21600573.0,,Brooklyn Nets,0.0,97.0,97.0,97.0,Brooklyn Nets,20.0,,,,,,,0.345,0.7390000000000001,48.0,22.0,5.0,4.0
3861,21600547.0,,Brooklyn Nets,0.0,108.0,108.0,108.0,Brooklyn Nets,8.0,,,,,,,0.3,0.895,52.0,21.0,6.0,1.0
3862,21600515.0,Utah Jazz,Brooklyn Nets,101.0,89.0,190.0,12.0,Utah Jazz,12.0,0.292,0.8,46.0,11.0,9.0,5.0,0.222,0.7390000000000001,44.0,13.0,5.0,5.0
3863,21600480.0,Brooklyn Nets,,99.0,0.0,99.0,99.0,Brooklyn Nets,2.0,0.406,0.75,37.0,21.0,9.0,6.0,,,,,,
3864,21600444.0,Brooklyn Nets,,99.0,0.0,99.0,99.0,Brooklyn Nets,20.0,0.267,0.833,44.0,22.0,6.0,7.0,,,,,,
3865,21600420.0,Brooklyn Nets,Toronto Raptors,104.0,116.0,220.0,12.0,Toronto Raptors,12.0,0.286,0.7859999999999999,52.0,20.0,9.0,5.0,0.444,0.774,48.0,19.0,13.0,9.0
3866,21600390.0,Brooklyn Nets,Orlando Magic,111.0,118.0,229.0,118.0,Orlando Magic,7.0,0.407,0.846,45.0,21.0,5.0,6.0,0.241,0.7859999999999999,49.0,22.0,8.0,11.0
3867,21600364.0,Brooklyn Nets,,118.0,0.0,118.0,118.0,Brooklyn Nets,4.0,0.35,0.75,41.0,21.0,9.0,4.0,,,,,,
3868,21600323.0,,Brooklyn Nets,0.0,116.0,116.0,116.0,Brooklyn Nets,5.0,,,,,,,0.346,0.8059999999999999,42.0,18.0,11.0,5.0
3869,21600291.0,Brooklyn Nets,,103.0,0.0,103.0,103.0,Brooklyn Nets,9.0,0.268,0.727,46.0,21.0,6.0,5.0,,,,,,
3870,21600261.0,Los Angeles Clippers,Brooklyn Nets,0.0,127.0,127.0,127.0,Brooklyn Nets,5.0,,,,,,,0.342,0.667,54.0,22.0,9.0,3.0
3871,21600234.0,Brooklyn Nets,Indiana Pacers,97.0,118.0,215.0,118.0,Indiana Pacers,21.0,0.324,0.609,38.0,24.0,8.0,4.0,0.423,0.688,47.0,25.0,11.0,5.0
3872,21600194.0,Portland Trail Blazers,Brooklyn Nets,129.0,109.0,238.0,20.0,Portland Trail Blazers,20.0,0.417,0.762,50.0,23.0,4.0,7.0,0.286,0.8059999999999999,36.0,22.0,5.0,3.0
3873,21600157.0,Brooklyn Nets,,118.0,0.0,118.0,118.0,Brooklyn Nets,7.0,0.293,0.8,47.0,23.0,8.0,6.0,,,,,,
3874,21600139.0,Brooklyn Nets,Phoenix Suns,122.0,104.0,226.0,18.0,Brooklyn Nets,18.0,0.432,0.867,55.0,22.0,6.0,10.0,0.242,0.762,55.0,23.0,9.0,3.0
3875,21600101.0,,Brooklyn Nets,0.0,119.0,119.0,119.0,Brooklyn Nets,9.0,,,,,,,0.364,0.885,43.0,20.0,5.0,5.0
3876,21600057.0,Detroit Pistons,Brooklyn Nets,101.0,109.0,210.0,101.0,Detroit Pistons,8.0,0.36,0.857,38.0,21.0,11.0,6.0,0.481,0.8240000000000001,45.0,27.0,10.0,3.0
3877,21600031.0,Brooklyn Nets,,108.0,0.0,108.0,108.0,Brooklyn Nets,2.0,0.324,0.821,45.0,23.0,12.0,6.0,,,,,,
3878,21600006.0,Brooklyn Nets,,117.0,0.0,117.0,117.0,Brooklyn Nets,5.0,0.341,0.8,44.0,22.0,8.0,3.0,,,,,,
3879,21701205.0,,Brooklyn Nets,0.0,114.0,114.0,114.0,Brooklyn Nets,9.0,,,,,,,0.429,0.933,38.0,32.0,8.0,10.0
3880,21701178.0,Brooklyn Nets,,119.0,0.0,119.0,119.0,Brooklyn Nets,8.0,0.487,0.857,41.0,30.0,3.0,12.0,,,,,,
3881,21701148.0,Detroit Pistons,Brooklyn Nets,108.0,96.0,204.0,108.0,Detroit Pistons,12.0,0.368,0.7809999999999999,53.0,17.0,9.0,3.0,0.2789999999999999,0.667,40.0,23.0,5.0,5.0
3882,21701117.0,Brooklyn Nets,Orlando Magic,111.0,104.0,215.0,104.0,Orlando Magic,7.0,0.353,0.8640000000000001,48.0,28.0,6.0,5.0,0.355,0.813,44.0,25.0,4.0,4.0
3883,21701082.0,Brooklyn Nets,Toronto Raptors,112.0,116.0,228.0,116.0,Toronto Raptors,4.0,0.407,0.613,40.0,21.0,5.0,9.0,0.5,0.69,43.0,26.0,5.0,7.0
3884,21701053.0,Memphis Grizzlies,Brooklyn Nets,115.0,118.0,233.0,3.0,Brooklyn Nets,3.0,0.435,0.65,42.0,21.0,11.0,3.0,0.4,0.75,41.0,27.0,5.0,9.0
3885,21701030.0,Brooklyn Nets,Philadelphia 76ers,116.0,120.0,236.0,120.0,Philadelphia 76ers,4.0,0.5,0.778,47.0,25.0,4.0,5.0,0.444,0.846,42.0,30.0,9.0,3.0
3886,21700999.0,Philadelphia 76ers,Brooklyn Nets,120.0,97.0,217.0,23.0,Philadelphia 76ers,23.0,0.346,0.611,48.0,33.0,12.0,7.0,0.357,0.875,42.0,17.0,5.0,5.0
3887,21700963.0,Brooklyn Nets,,101.0,0.0,101.0,101.0,Brooklyn Nets,13.0,0.265,0.8,38.0,24.0,7.0,1.0,,,,,,
3888,21700924.0,Brooklyn Nets,Sacramento Kings,111.0,116.0,227.0,5.0,Sacramento Kings,5.0,0.37,0.8240000000000001,51.0,27.0,10.0,4.0,0.429,0.833,44.0,23.0,15.0,6.0
3889,21700899.0,,Brooklyn Nets,0.0,104.0,104.0,104.0,Brooklyn Nets,17.0,,,,,,,0.381,1.0,48.0,31.0,4.0,9.0
3890,21700856.0,Indiana Pacers,Brooklyn Nets,108.0,103.0,211.0,5.0,Indiana Pacers,5.0,0.4,0.857,52.0,20.0,10.0,7.0,0.371,0.741,44.0,24.0,4.0,2.0
3891,21700826.0,,Brooklyn Nets,0.0,128.0,128.0,128.0,Brooklyn Nets,10.0,,,,,,,0.356,0.955,60.0,30.0,10.0,3.0
3892,21700800.0,,Brooklyn Nets,0.0,113.0,113.0,113.0,Brooklyn Nets,10.0,,,,,,,0.457,0.882,37.0,24.0,8.0,2.0
3893,21700768.0,,Brooklyn Nets,0.0,99.0,99.0,99.0,Brooklyn Nets,3.0,,,,,,,0.31,0.696,38.0,20.0,7.0,8.0
3894,21700745.0,Brooklyn Nets,New York Knicks,95.0,111.0,206.0,16.0,New York Knicks,16.0,0.243,0.875,49.0,15.0,6.0,3.0,0.5,0.8,47.0,22.0,6.0,6.0
3895,21700719.0,Brooklyn Nets,,91.0,0.0,91.0,91.0,Brooklyn Nets,25.0,0.235,0.85,45.0,18.0,5.0,2.0,,,,,,
3896,21700685.0,Brooklyn Nets,Detroit Pistons,101.0,100.0,201.0,100.0,Detroit Pistons,1.0,0.419,0.7,46.0,23.0,1.0,3.0,0.31,0.882,43.0,21.0,3.0,4.0
3897,21700655.0,San Antonio Spurs,Brooklyn Nets,100.0,95.0,195.0,5.0,San Antonio Spurs,5.0,0.474,0.742,42.0,24.0,8.0,4.0,0.361,0.667,47.0,23.0,3.0,1.0
3898,21700630.0,Brooklyn Nets,Washington Wizards,113.0,119.0,232.0,119.0,Washington Wizards,6.0,0.2789999999999999,0.85,47.0,28.0,6.0,3.0,0.435,0.7390000000000001,47.0,31.0,10.0,3.0
3899,21700606.0,Detroit Pistons,Brooklyn Nets,114.0,80.0,194.0,34.0,Detroit Pistons,34.0,0.476,0.667,54.0,24.0,10.0,4.0,0.324,0.933,35.0,19.0,11.0,2.0
3900,21700579.0,,Brooklyn Nets,0.0,85.0,85.0,85.0,Brooklyn Nets,2.0,,,,,,,0.1939999999999999,0.8640000000000001,55.0,11.0,2.0,11.0
3901,21700545.0,Orlando Magic,Brooklyn Nets,95.0,98.0,193.0,95.0,Orlando Magic,3.0,0.1939999999999999,0.76,52.0,16.0,5.0,5.0,0.36,0.7390000000000001,52.0,17.0,7.0,10.0
3902,21700523.0,Brooklyn Nets,,111.0,0.0,111.0,111.0,Brooklyn Nets,24.0,0.423,0.88,54.0,25.0,8.0,4.0,,,,,,
3903,21700502.0,Brooklyn Nets,San Antonio Spurs,97.0,109.0,206.0,109.0,San Antonio Spurs,12.0,0.375,0.778,45.0,23.0,5.0,0.0,0.4379999999999999,0.833,43.0,18.0,7.0,5.0
3904,21700473.0,Washington Wizards,Brooklyn Nets,84.0,119.0,203.0,35.0,Brooklyn Nets,35.0,0.25,0.733,35.0,22.0,7.0,1.0,0.341,0.81,60.0,29.0,4.0,4.0
