,GAME_ID,PTS
9720,21400357,192
58,21400358,179
8639,21400359,177
6498,21400360,190
11874,21400361,203
4881,21400362,204
14565,21400363,204
5958,21400364,186
3811,21400365,203
1662,21400366,230
8105,21400367,194
12410,21400368,196
10256,21400369,217
57,21400370,225
8638,21400371,201
15101,21400372,223
5957,21400373,192
12947,21400374,194
11873,21400375,233
10796,21400376,201
9179,21400377,202
3271,21400378,226
8104,21400379,200
4342,21400380,189
6496,21400381,215
3810,21400382,223
8637,21400383,195
9719,21400384,200
7037,21400385,212
1130,21400386,186
15100,21400387,210
5956,21400388,208
2199,21400389,200
10795,21400390,248
4879,21400391,215
5419,21400392,207
10255,21400393,189
10794,21400394,202
15633,21400395,190
56,21400396,201
11871,21400397,192
3269,21400398,149
6495,21400399,208
8102,21400400,226
14024,21400401,196
11334,21400402,209
7567,21400403,215
591,21400404,184
8636,21400405,184
10254,21400406,196
7036,21400407,196
12407,21400408,200
3268,21400409,192
12944,21400410,249
4340,21400411,205
14023,21400412,188
55,21400413,207
4877,21400414,243
11333,21400415,236
1128,21400416,229
1658,21400417,180
590,21400418,195
2197,21400419,190
54,21400420,211
3267,21400421,198
5954,21400422,178
15631,21400423,209
12406,21400424,226
10253,21400425,239
5417,21400426,220
8101,21400427,193
11869,21400428,220
5953,21400429,192
2196,21400430,206
4875,21400431,186
7565,21400432,216
1126,21400433,187
53,21400434,184
9175,21400435,228
4339,21400436,228
1657,21400437,187
15630,21400438,173
5415,21400439,200
3266,21400440,208
9716,21400441,207
11332,21400442,221
12943,21400443,208
8633,21400444,196
14560,21400445,189
5952,21400446,198
1656,21400447,207
7564,21400448,195
52,21400449,175
13482,21400450,159
11331,21400451,264
7033,21400452,207
1125,21400453,183
11867,21400454,216
2724,21400455,219
10790,21400456,180
3265,21400457,218
5414,21400458,223
6491,21400459,198
2194,21400460,182
11330,21400461,206
5951,21400462,203
4337,21400463,207
4873,21400464,198
15096,21400465,195
1124,21400466,210
2193,21400467,178
14020,21400468,182
1655,21400469,216
2723,21400470,201
3264,21400471,214
13480,21400472,194
12941,21400473,199
3805,21400474,212
11329,21400475,190
5950,21400476,201
8098,21400477,177
15627,21400478,185
6490,21400479,176
12402,21400480,271
1654,21400481,188
3263,21400482,207
7031,21400483,217
15626,21400484,178
7561,21400485,198
586,21400486,220
8097,21400487,178
1653,21400488,194
12401,21400489,211
6489,21400490,185
10248,21400491,208
50,21400492,190
12940,21400493,231
5412,21400494,215
15625,21400495,188
585,21400496,213
5949,21400497,194
7030,21400498,190
14556,21400499,193
3262,21400500,199
49,21400501,222
9712,21400502,218
2721,21400503,199
15094,21400504,209
5948,21400505,172
6488,21400506,177
12939,21400507,234
9170,21400508,175
9711,21400509,187
584,21400510,199
2720,21400511,184
4333,21400512,219
14017,21400513,188
7029,21400514,211
14555,21400515,177
9169,21400516,206
10787,21400517,192
12400,21400518,208
48,21400519,205
6487,21400520,198
15093,21400521,209
1651,21400522,192
4332,21400523,198
6486,21400524,174
14554,21400525,192
14016,21400526,182
583,21400527,170
13476,21400528,174
15092,21400529,203
8628,21400530,183
10245,21400531,224
12399,21400532,187
9168,21400533,219
5409,21400534,203
15622,21400535,198
8093,21400536,216
10786,21400537,182
9167,21400538,210
9709,21400539,178
46,21400540,209
14015,21400541,201
13475,21400542,193
14553,21400543,188
6485,21400544,182
11862,21400545,195
3259,21400546,226
3801,21400547,206
5408,21400548,185
15621,21400549,192
4868,21400550,220
7556,21400551,191
9166,21400552,185
581,21400553,205
6484,21400554,182
13474,21400555,179
11861,21400556,201
10785,21400557,195
45,21400558,209
4867,21400559,194
10243,21400560,232
11324,21400561,187
10784,21400562,200
1649,21400563,208
7555,21400564,212
15089,21400565,225
8625,21400566,235
7025,21400567,211
9707,21400568,192
14551,21400569,194
1116,21400570,207
13473,21400571,221
11323,21400572,212
5406,21400573,153
15620,21400574,191
4328,21400575,233
14013,21400576,195
15088,21400577,199
12935,21400578,184
2185,21400579,204
579,21400580,196
3258,21400581,221
5944,21400582,193
4866,21400583,194
12397,21400584,213
6483,21400585,174
1115,21400586,211
9164,21400587,194
8623,21400588,202
9705,21400589,177
7553,21400590,182
2184,21400591,222
12934,21400592,199
12396,21400593,242
3257,21400594,186
10782,21400595,206
7024,21400596,209
13472,21400597,179
11322,21400598,178
4865,21400599,247
9163,21400600,151
15086,21400601,196
41,21400602,206
3797,21400603,237
10781,21400604,200
14548,21400605,189
3256,21400606,218
11321,21400607,225
1646,21400608,188
12395,21400609,226
11857,21400610,158
7022,21400611,185
14547,21400612,187
40,21400613,175
4863,21400614,195
3255,21400615,201
14010,21400616,198
9162,21400617,208
8090,21400618,191
6482,21400619,181
1113,21400620,202
10780,21400621,192
5403,21400622,215
5942,21400623,180
11856,21400624,208
5941,21400625,154
1112,21400626,198
8089,21400627,189
9161,21400628,201
8621,21400629,246
14009,21400630,178
7021,21400631,173
1644,21400632,176
14546,21400633,208
10239,21400634,231
7551,21400635,203
4324,21400636,239
11855,21400637,185
6481,21400638,200
10778,21400639,179
4862,21400640,207
12930,21400641,177
12392,21400642,196
1111,21400643,219
9160,21400644,176
8088,21400645,219
2712,21400646,200
7020,21400647,176
5401,21400648,184
3253,21400649,199
10238,21400650,224
3794,21400651,227
15615,21400652,147
6480,21400653,187
9700,21400654,184
13468,21400655,181
10777,21400656,199
5939,21400657,180
12391,21400658,206
4861,21400659,220
2711,21400660,215
37,21400661,212
8619,21400662,205
6479,21400663,196
12929,21400664,224
574,21400665,225
3252,21400666,232
4322,21400667,186
7516,21400668,202
8073,21400669,210
14007,21400670,197
9699,21400671,173
7018,21400672,176
13467,21400673,189
4860,21400674,200
12928,21400675,195
15081,21400676,198
5938,21400677,211
2710,21400678,199
2178,21400679,224
14543,21400680,190
1108,21400681,193
9698,21400682,158
36,21400683,215
11317,21400684,221
2709,21400685,193
7017,21400686,208
1640,21400687,178
12389,21400688,192
15614,21400689,181
13466,21400690,183
14542,21400691,204
8617,21400692,215
14005,21400693,168
8085,21400694,185
5398,21400695,241
7016,21400696,197
35,21400697,204
571,21400698,180
7547,21400699,249
1107,21400700,191
4858,21400701,211
2708,21400702,165
13465,21400703,210
2176,21400704,192
11315,21400705,193
8616,21400706,201
14541,21400707,236
34,21400708,176
15079,21400709,215
14004,21400710,159
7015,21400711,196
6476,21400712,183
15613,21400713,190
11851,21400714,190
3790,21400715,193
5936,21400716,158
5397,21400717,172
1105,21400718,181
14540,21400719,180
4856,21400720,202
6475,21400721,157
1638,21400722,215
12387,21400723,201
7014,21400724,194
14003,21400725,203
9694,21400726,203
15078,21400727,199
8083,21400728,205
10773,21400729,205
3789,21400730,217
9155,21400731,223
32,21400732,201
3246,21400733,204
12923,21400734,202
