,GAME_ID,H_TEAM,A_TEAM,H_POINTS,A_POINTS,TOTAL,M_OF_VIC,WINNER,PLUS_MINUS,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_STL,H_BLK,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_STL,A_BLK,H_LAST_15_FG3_PCT,H_LAST_15_FT_PCT,H_LAST_15_REB,H_LAST_15_AST,H_LAST_15_STL,H_LAST_15_BLK,A_LAST_15_FG3_PCT,A_LAST_15_FT_PCT,A_LAST_15_REB,A_LAST_15_AST,A_LAST_15_STL,A_LAST_15_BLK
5267,21800348,Houston Rockets,Minnesota Timberwolves,91,103,194,12,Minnesota Timberwolves,12,0.282,0.8420000000000001,34,24,9,6,0.5,0.7140000000000001,42,22,11,7,0.3448,0.7640666666666666,41.13333333333333,21.466666666666665,8.333333333333334,5.666666666666667,0.3447333333333333,0.7971333333333334,44.06666666666667,23.266666666666666,9.266666666666667,4.6
5268,21800349,Los Angeles Clippers,New Orleans Pelicans,129,126,255,3,Los Angeles Clippers,3,0.4,0.767,39,29,4,1,0.382,0.682,35,32,10,5,0.3843333333333333,0.8035333333333333,46.46666666666667,22.6,6.2,5.2,0.33986666666666665,0.788,49.86666666666667,27.0,6.733333333333333,5.933333333333334
5269,21800350,Chicago Bulls,Indiana Pacers,90,96,186,6,Indiana Pacers,6,0.355,1.0,44,26,8,2,0.273,0.833,45,22,10,6,0.30333333333333334,0.8088666666666666,42.0,20.466666666666665,8.8,4.666666666666667,0.36786666666666673,0.7532000000000001,43.13333333333333,25.066666666666666,9.933333333333334,4.933333333333334
5270,21800351,Orlando Magic,Miami Heat,105,90,195,15,Orlando Magic,15,0.5,0.75,43,22,5,4,0.34299999999999997,0.4,47,19,7,11,0.3758,0.8203333333333335,40.6,27.2,7.266666666666667,5.466666666666667,0.36646666666666666,0.6945333333333334,46.53333333333333,22.0,7.866666666666666,6.333333333333333
5271,21800352,Portland Trail Blazers,Dallas Mavericks,102,111,213,9,Dallas Mavericks,9,0.292,0.826,48,20,7,6,0.36700000000000005,0.6859999999999999,50,25,11,4,0.3396,0.7832000000000002,48.53333333333333,20.666666666666668,6.533333333333333,4.133333333333334,0.3745333333333333,0.7450666666666667,46.0,21.533333333333335,8.0,4.533333333333333
5272,21800353,Sacramento Kings,Phoenix Suns,122,105,227,17,Sacramento Kings,17,0.45799999999999996,0.6559999999999999,42,27,13,3,0.27899999999999997,0.81,43,27,9,4,0.3758,0.7152,45.4,25.0,8.333333333333334,4.066666666666666,0.3464,0.7881333333333334,38.6,22.733333333333334,8.866666666666667,4.866666666666666
5273,21800354,San Antonio Spurs,Utah Jazz,105,139,244,34,Utah Jazz,34,0.318,0.909,32,25,7,5,0.606,0.85,42,38,12,5,0.4061333333333333,0.8289333333333334,43.733333333333334,23.2,5.0,4.266666666666667,0.3020666666666667,0.6998,42.4,23.733333333333334,8.933333333333334,5.4
5274,21800355,Golden State Warriors,Cleveland Cavaliers,129,105,234,24,Golden State Warriors,24,0.529,0.875,46,29,6,5,0.344,0.696,41,17,7,2,0.36213333333333325,0.8346666666666667,44.333333333333336,25.933333333333334,6.666666666666667,6.466666666666667,0.35533333333333333,0.7849333333333334,44.333333333333336,18.333333333333332,6.4,2.6666666666666665
5275,21800356,Denver Nuggets,Orlando Magic,124,118,242,6,Denver Nuggets,6,0.579,0.622,43,34,5,2,0.408,1.0,40,30,4,4,0.36773333333333336,0.7382666666666666,46.46666666666667,28.0,8.133333333333333,4.133333333333334,0.3841333333333334,0.8222,40.6,26.733333333333334,7.133333333333334,5.466666666666667
5276,21800357,Washington Wizards,Atlanta Hawks,131,117,248,14,Washington Wizards,14,0.316,0.8440000000000001,49,35,9,4,0.316,0.742,43,28,13,4,0.3308666666666666,0.7148000000000001,41.13333333333333,25.066666666666666,8.866666666666667,5.666666666666667,0.2843333333333333,0.7639333333333335,43.2,23.666666666666668,9.666666666666666,5.866666666666666
5277,21800358,Oklahoma City Thunder,Brooklyn Nets,114,112,226,2,Oklahoma City Thunder,2,0.342,0.5770000000000001,60,28,8,6,0.41700000000000004,0.767,45,21,7,4,0.33553333333333335,0.7519333333333333,48.733333333333334,23.466666666666665,10.133333333333333,5.6,0.32093333333333335,0.7338666666666668,46.13333333333333,20.666666666666668,7.0,3.6666666666666665
5278,21800359,Philadelphia 76ers,Toronto Raptors,102,113,215,11,Toronto Raptors,11,0.314,0.7859999999999999,49,26,7,5,0.276,0.8640000000000001,53,25,12,3,0.3562,0.7555333333333333,46.53333333333333,26.266666666666666,6.733333333333333,4.933333333333334,0.3424,0.8264666666666667,45.13333333333333,24.266666666666666,7.933333333333334,4.866666666666666
